"digits","algorithm","n_neighbors","metric","sizes","digit","precision","recall","f1_score","support"
9,"auto",20,"chebyshev",5,9,"     0.16","    0.38","     0.22",112
0,"ball_tree",20,"chebyshev",5,0,"     1.00","    0.11","     0.20",97
1,"ball_tree",20,"chebyshev",5,1,"     0.24","    0.45","     0.32",95
2,"ball_tree",20,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"ball_tree",20,"chebyshev",5,3,"     0.12","    0.30","     0.17",103
4,"ball_tree",20,"chebyshev",5,4,"     0.41","    0.57","     0.47",95
5,"ball_tree",20,"chebyshev",5,5,"     1.00","    0.01","     0.02",97
6,"ball_tree",20,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"ball_tree",20,"chebyshev",5,7,"     0.34","    0.49","     0.41",97
8,"ball_tree",20,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
9,"ball_tree",20,"chebyshev",5,9,"     0.16","    0.38","     0.22",112
0,"kd_tree",20,"chebyshev",5,0,"     1.00","    0.11","     0.20",97
1,"kd_tree",20,"chebyshev",5,1,"     0.24","    0.45","     0.32",95
2,"kd_tree",20,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"kd_tree",20,"chebyshev",5,3,"     0.12","    0.30","     0.17",103
4,"kd_tree",20,"chebyshev",5,4,"     0.41","    0.57","     0.47",95
5,"kd_tree",20,"chebyshev",5,5,"     1.00","    0.01","     0.02",97
6,"kd_tree",20,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"kd_tree",20,"chebyshev",5,7,"     0.34","    0.49","     0.41",97
8,"kd_tree",20,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
9,"kd_tree",20,"chebyshev",5,9,"     0.16","    0.38","     0.22",112
0,"brute",20,"chebyshev",5,0,"     1.00","    0.05","     0.10",97
1,"brute",20,"chebyshev",5,1,"     1.00","    0.38","     0.55",95
2,"brute",20,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"brute",20,"chebyshev",5,3,"     0.03","    0.01","     0.01",103
4,"brute",20,"chebyshev",5,4,"     0.00","    0.00","     0.00",95
5,"brute",20,"chebyshev",5,5,"     0.67","    0.02","     0.04",97
6,"brute",20,"chebyshev",5,6,"     0.43","    0.03","     0.05",106
7,"brute",20,"chebyshev",5,7,"     0.62","    0.05","     0.10",97
8,"brute",20,"chebyshev",5,8,"     0.10","    0.99","     0.17",87
9,"brute",20,"chebyshev",5,9,"     0.80","    0.04","     0.07",112
0,"auto",50,"chebyshev",5,0,"     0.12","    0.37","     0.19",97
1,"auto",50,"chebyshev",5,1,"     0.66","    0.28","     0.40",95
2,"auto",50,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"auto",50,"chebyshev",5,3,"     1.00","    0.01","     0.02",103
4,"auto",50,"chebyshev",5,4,"     0.25","    0.72","     0.37",95
5,"auto",50,"chebyshev",5,5,"     0.00","    0.00","     0.00",97
6,"auto",50,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"auto",50,"chebyshev",5,7,"     0.34","    0.49","     0.41",97
8,"auto",50,"chebyshev",5,8,"     0.14","    0.43","     0.21",87
9,"auto",50,"chebyshev",5,9,"     0.00","    0.00","     0.00",112
0,"ball_tree",50,"chebyshev",5,0,"     0.12","    0.37","     0.19",97
1,"ball_tree",50,"chebyshev",5,1,"     0.66","    0.28","     0.40",95
2,"ball_tree",50,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"ball_tree",50,"chebyshev",5,3,"     1.00","    0.01","     0.02",103
4,"ball_tree",50,"chebyshev",5,4,"     0.25","    0.72","     0.37",95
5,"ball_tree",50,"chebyshev",5,5,"     0.00","    0.00","     0.00",97
6,"ball_tree",50,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"ball_tree",50,"chebyshev",5,7,"     0.34","    0.49","     0.41",97
8,"ball_tree",50,"chebyshev",5,8,"     0.14","    0.43","     0.21",87
9,"ball_tree",50,"chebyshev",5,9,"     0.00","    0.00","     0.00",112
0,"kd_tree",50,"chebyshev",5,0,"     0.12","    0.37","     0.19",97
1,"kd_tree",50,"chebyshev",5,1,"     0.66","    0.28","     0.40",95
2,"kd_tree",50,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"kd_tree",50,"chebyshev",5,3,"     1.00","    0.01","     0.02",103
4,"kd_tree",50,"chebyshev",5,4,"     0.25","    0.72","     0.37",95
5,"kd_tree",50,"chebyshev",5,5,"     0.00","    0.00","     0.00",97
6,"kd_tree",50,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"kd_tree",50,"chebyshev",5,7,"     0.34","    0.49","     0.41",97
8,"kd_tree",50,"chebyshev",5,8,"     0.14","    0.43","     0.21",87
9,"kd_tree",50,"chebyshev",5,9,"     0.00","    0.00","     0.00",112
0,"brute",50,"chebyshev",5,0,"     0.33","    0.02","     0.04",97
1,"brute",50,"chebyshev",5,1,"     1.00","    0.22","     0.36",95
2,"brute",50,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"brute",50,"chebyshev",5,3,"     0.00","    0.00","     0.00",103
4,"brute",50,"chebyshev",5,4,"     0.00","    0.00","     0.00",95
5,"brute",50,"chebyshev",5,5,"     0.50","    0.01","     0.02",97
6,"brute",50,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"brute",50,"chebyshev",5,7,"     1.00","    0.01","     0.02",97
8,"brute",50,"chebyshev",5,8,"     0.09","    0.99","     0.16",87
9,"brute",50,"chebyshev",5,9,"     0.00","    0.00","     0.00",112
0,"auto",1,"euclidean",5,0,"     0.89","    0.88","     0.88",97
1,"auto",1,"euclidean",5,1,"     0.75","    0.97","     0.85",95
2,"auto",1,"euclidean",5,2,"     0.90","    0.66","     0.76",111
3,"auto",1,"euclidean",5,3,"     0.79","    0.86","     0.83",103
4,"auto",1,"euclidean",5,4,"     0.87","    0.80","     0.84",95
5,"auto",1,"euclidean",5,5,"     0.77","    0.80","     0.79",97
6,"auto",1,"euclidean",5,6,"     0.90","    0.89","     0.89",106
7,"auto",1,"euclidean",5,7,"     0.61","    0.82","     0.70",97
8,"auto",1,"euclidean",5,8,"     0.75","    0.59","     0.66",87
9,"auto",1,"euclidean",5,9,"     0.77","    0.66","     0.71",112
0,"ball_tree",1,"euclidean",5,0,"     0.89","    0.88","     0.88",97
1,"ball_tree",1,"euclidean",5,1,"     0.75","    0.97","     0.85",95
2,"ball_tree",1,"euclidean",5,2,"     0.90","    0.66","     0.76",111
3,"ball_tree",1,"euclidean",5,3,"     0.79","    0.86","     0.83",103
4,"ball_tree",1,"euclidean",5,4,"     0.87","    0.80","     0.84",95
5,"ball_tree",1,"euclidean",5,5,"     0.77","    0.80","     0.79",97
