"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"991";0;"brute";50;"euclidean";10;0;0,9;0,96;0,93;97
"1001";0;"auto";1;"manhattan";10;0;0,97;0,97;0,97;97
"1002";1;"auto";1;"manhattan";10;1;0,78;0,99;0,87;95
"1003";2;"auto";1;"manhattan";10;2;0,99;0,88;0,93;111
"1005";4;"auto";1;"manhattan";10;4;0,95;0,84;0,89;95
"1006";5;"auto";1;"manhattan";10;5;0,93;0,92;0,92;97
"1007";6;"auto";1;"manhattan";10;6;0,97;0,92;0,95;106
"1011";0;"ball_tree";1;"manhattan";10;0;0,97;0,97;0,97;97
"1012";1;"ball_tree";1;"manhattan";10;1;0,78;0,98;0,87;95
"1013";2;"ball_tree";1;"manhattan";10;2;0,99;0,88;0,93;111
"1014";3;"ball_tree";1;"manhattan";10;3;0,87;0,94;0,91;103
"1015";4;"ball_tree";1;"manhattan";10;4;0,95;0,85;0,9;95
"1016";5;"ball_tree";1;"manhattan";10;5;0,93;0,92;0,92;97
"1017";6;"ball_tree";1;"manhattan";10;6;0,97;0,92;0,95;106
"1018";7;"ball_tree";1;"manhattan";10;7;0,82;0,91;0,86;97
"1021";0;"kd_tree";1;"manhattan";10;0;0,97;0,97;0,97;97
"1022";1;"kd_tree";1;"manhattan";10;1;0,78;0,99;0,87;95
"1023";2;"kd_tree";1;"manhattan";10;2;0,99;0,88;0,93;111
"1025";4;"kd_tree";1;"manhattan";10;4;0,95;0,84;0,89;95
"1026";5;"kd_tree";1;"manhattan";10;5;0,93;0,92;0,92;97
"1027";6;"kd_tree";1;"manhattan";10;6;0,97;0,92;0,95;106
"1031";0;"brute";1;"manhattan";10;0;0,97;0,97;0,97;97
"1032";1;"brute";1;"manhattan";10;1;0,78;0,98;0,87;95
"1033";2;"brute";1;"manhattan";10;2;0,99;0,89;0,94;111
"1035";4;"brute";1;"manhattan";10;4;0,95;0,84;0,89;95
"1036";5;"brute";1;"manhattan";10;5;0,93;0,92;0,92;97
"1037";6;"brute";1;"manhattan";10;6;0,98;0,92;0,95;106
"1038";7;"brute";1;"manhattan";10;7;0,81;0,91;0,86;97
"1041";0;"auto";5;"manhattan";10;0;0,99;0,98;0,98;97
"1043";2;"auto";5;"manhattan";10;2;0,98;0,86;0,91;111
"1044";3;"auto";5;"manhattan";10;3;0,9;0,94;0,92;103
"1045";4;"auto";5;"manhattan";10;4;0,91;0,84;0,87;95
"1046";5;"auto";5;"manhattan";10;5;0,94;0,9;0,92;97
"1047";6;"auto";5;"manhattan";10;6;0,96;0,93;0,95;106
"1051";0;"ball_tree";5;"manhattan";10;0;0,99;0,98;0,98;97
"1053";2;"ball_tree";5;"manhattan";10;2;0,98;0,86;0,91;111
"1054";3;"ball_tree";5;"manhattan";10;3;0,9;0,94;0,92;103
"1055";4;"ball_tree";5;"manhattan";10;4;0,91;0,83;0,87;95
"1056";5;"ball_tree";5;"manhattan";10;5;0,94;0,9;0,92;97
"1057";6;"ball_tree";5;"manhattan";10;6;0,96;0,93;0,95;106
"1061";0;"kd_tree";5;"manhattan";10;0;0,99;0,98;0,98;97
"1063";2;"kd_tree";5;"manhattan";10;2;0,98;0,86;0,91;111
"1064";3;"kd_tree";5;"manhattan";10;3;0,9;0,94;0,92;103
"1065";4;"kd_tree";5;"manhattan";10;4;0,91;0,84;0,87;95
"1066";5;"kd_tree";5;"manhattan";10;5;0,94;0,9;0,92;97
"1067";6;"kd_tree";5;"manhattan";10;6;0,96;0,93;0,95;106
"1071";0;"brute";5;"manhattan";10;0;0,97;0,98;0,97;97
"1073";2;"brute";5;"manhattan";10;2;0,99;0,86;0,92;111
"1074";3;"brute";5;"manhattan";10;3;0,89;0,95;0,92;103
"1075";4;"brute";5;"manhattan";10;4;0,9;0,83;0,86;95
"1076";5;"brute";5;"manhattan";10;5;0,95;0,9;0,92;97
"1077";6;"brute";5;"manhattan";10;6;0,98;0,92;0,95;106
"1081";0;"auto";10;"manhattan";10;0;0,97;0,98;0,97;97
"1083";2;"auto";10;"manhattan";10;2;1;0,84;0,91;111
"1085";4;"auto";10;"manhattan";10;4;0,89;0,83;0,86;95
"1086";5;"auto";10;"manhattan";10;5;0,95;0,89;0,91;97
"1087";6;"auto";10;"manhattan";10;6;0,98;0,92;0,95;106
"1091";0;"ball_tree";10;"manhattan";10;0;0,97;0,98;0,97;97
"1093";2;"ball_tree";10;"manhattan";10;2;1;0,83;0,91;111
"1094";3;"ball_tree";10;"manhattan";10;3;0,87;0,94;0,91;103
"1095";4;"ball_tree";10;"manhattan";10;4;0,9;0,83;0,86;95
"1096";5;"ball_tree";10;"manhattan";10;5;0,95;0,89;0,91;97
"1097";6;"ball_tree";10;"manhattan";10;6;0,98;0,92;0,95;106
"1101";0;"kd_tree";10;"manhattan";10;0;0,97;0,98;0,97;97
"1103";2;"kd_tree";10;"manhattan";10;2;1;0,84;0,91;111
"1105";4;"kd_tree";10;"manhattan";10;4;0,89;0,83;0,86;95
"1106";5;"kd_tree";10;"manhattan";10;5;0,95;0,89;0,91;97
"1107";6;"kd_tree";10;"manhattan";10;6;0,98;0,92;0,95;106
"1111";0;"brute";10;"manhattan";10;0;0,96;0,98;0,97;97
"1113";2;"brute";10;"manhattan";10;2;1;0,84;0,91;111
"1115";4;"brute";10;"manhattan";10;4;0,9;0,83;0,86;95
"1116";5;"brute";10;"manhattan";10;5;0,93;0,89;0,91;97
"1117";6;"brute";10;"manhattan";10;6;0,99;0,92;0,95;106
"1121";0;"auto";20;"manhattan";10;0;0,96;0,98;0,97;97
