"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"2650";9;"auto";5;"euclidean";40;9;0,97;0,89;0,93;111
"2651";0;"ball_tree";5;"euclidean";40;0;0,95;0,98;0,96;97
"2653";2;"ball_tree";5;"euclidean";40;2;0,99;0,89;0,94;111
"2654";3;"ball_tree";5;"euclidean";40;3;0,88;0,95;0,92;103
"2655";4;"ball_tree";5;"euclidean";40;4;0,93;0,86;0,9;95
"2656";5;"ball_tree";5;"euclidean";40;5;0,96;0,91;0,93;94
"2657";6;"ball_tree";5;"euclidean";40;6;0,97;0,94;0,96;109
"2658";7;"ball_tree";5;"euclidean";40;7;0,89;0,89;0,89;97
"2660";9;"ball_tree";5;"euclidean";40;9;0,97;0,89;0,93;111
"2661";0;"kd_tree";5;"euclidean";40;0;0,95;0,98;0,96;97
"2663";2;"kd_tree";5;"euclidean";40;2;0,99;0,89;0,94;111
"2664";3;"kd_tree";5;"euclidean";40;3;0,88;0,95;0,92;103
"2665";4;"kd_tree";5;"euclidean";40;4;0,93;0,86;0,9;95
"2666";5;"kd_tree";5;"euclidean";40;5;0,96;0,91;0,93;94
"2667";6;"kd_tree";5;"euclidean";40;6;0,97;0,94;0,96;109
"2668";7;"kd_tree";5;"euclidean";40;7;0,88;0,89;0,88;97
"2670";9;"kd_tree";5;"euclidean";40;9;0,97;0,89;0,93;111
"2671";0;"brute";5;"euclidean";40;0;0,95;0,98;0,96;97
"2673";2;"brute";5;"euclidean";40;2;0,99;0,89;0,94;111
"2674";3;"brute";5;"euclidean";40;3;0,88;0,95;0,92;103
"2675";4;"brute";5;"euclidean";40;4;0,93;0,86;0,9;95
"2676";5;"brute";5;"euclidean";40;5;0,96;0,9;0,93;94
"2677";6;"brute";5;"euclidean";40;6;0,97;0,94;0,96;109
"2678";7;"brute";5;"euclidean";40;7;0,88;0,89;0,88;97
"2680";9;"brute";5;"euclidean";40;9;0,97;0,88;0,92;111
"2681";0;"auto";10;"euclidean";40;0;0,93;0,98;0,95;97
"2683";2;"auto";10;"euclidean";40;2;0,99;0,85;0,91;111
"2684";3;"auto";10;"euclidean";40;3;0,88;0,94;0,91;103
"2685";4;"auto";10;"euclidean";40;4;0,94;0,84;0,89;95
"2686";5;"auto";10;"euclidean";40;5;0,96;0,9;0,93;94
"2687";6;"auto";10;"euclidean";40;6;0,96;0,96;0,96;109
"2691";0;"ball_tree";10;"euclidean";40;0;0,93;0,98;0,95;97
"2693";2;"ball_tree";10;"euclidean";40;2;0,99;0,85;0,91;111
"2694";3;"ball_tree";10;"euclidean";40;3;0,88;0,94;0,91;103
"2695";4;"ball_tree";10;"euclidean";40;4;0,94;0,84;0,89;95
"2696";5;"ball_tree";10;"euclidean";40;5;0,96;0,9;0,93;94
"2697";6;"ball_tree";10;"euclidean";40;6;0,96;0,96;0,96;109
"2701";0;"kd_tree";10;"euclidean";40;0;0,93;0,98;0,95;97
"2703";2;"kd_tree";10;"euclidean";40;2;0,99;0,85;0,91;111
"2704";3;"kd_tree";10;"euclidean";40;3;0,88;0,94;0,91;103
"2705";4;"kd_tree";10;"euclidean";40;4;0,94;0,84;0,89;95
"2706";5;"kd_tree";10;"euclidean";40;5;0,96;0,9;0,93;94
"2707";6;"kd_tree";10;"euclidean";40;6;0,96;0,96;0,96;109
"2711";0;"brute";10;"euclidean";40;0;0,93;0,98;0,95;97
"2713";2;"brute";10;"euclidean";40;2;0,99;0,85;0,91;111
"2714";3;"brute";10;"euclidean";40;3;0,88;0,94;0,91;103
"2715";4;"brute";10;"euclidean";40;4;0,94;0,84;0,89;95
"2716";5;"brute";10;"euclidean";40;5;0,96;0,9;0,93;94
"2717";6;"brute";10;"euclidean";40;6;0,96;0,96;0,96;109
"2721";0;"auto";20;"euclidean";40;0;0,9;0,97;0,94;97
"2724";3;"auto";20;"euclidean";40;3;0,88;0,93;0,91;103
"2725";4;"auto";20;"euclidean";40;4;0,93;0,81;0,87;95
"2726";5;"auto";20;"euclidean";40;5;0,93;0,89;0,91;94
"2727";6;"auto";20;"euclidean";40;6;0,94;0,92;0,93;109
"2731";0;"ball_tree";20;"euclidean";40;0;0,9;0,97;0,94;97
"2734";3;"ball_tree";20;"euclidean";40;3;0,88;0,93;0,91;103
"2735";4;"ball_tree";20;"euclidean";40;4;0,93;0,81;0,87;95
"2736";5;"ball_tree";20;"euclidean";40;5;0,93;0,89;0,91;94
"2737";6;"ball_tree";20;"euclidean";40;6;0,94;0,92;0,93;109
"2741";0;"kd_tree";20;"euclidean";40;0;0,9;0,97;0,94;97
"2744";3;"kd_tree";20;"euclidean";40;3;0,88;0,93;0,91;103
"2745";4;"kd_tree";20;"euclidean";40;4;0,93;0,81;0,87;95
"2746";5;"kd_tree";20;"euclidean";40;5;0,93;0,89;0,91;94
"2747";6;"kd_tree";20;"euclidean";40;6;0,94;0,92;0,93;109
"2751";0;"brute";20;"euclidean";40;0;0,9;0,97;0,94;97
"2754";3;"brute";20;"euclidean";40;3;0,88;0,93;0,91;103
"2755";4;"brute";20;"euclidean";40;4;0,92;0,81;0,86;95
"2756";5;"brute";20;"euclidean";40;5;0,93;0,89;0,91;94
"2757";6;"brute";20;"euclidean";40;6;0,94;0,92;0,93;109
"2761";0;"auto";50;"euclidean";40;0;0,86;0,96;0,91;97
"2767";6;"auto";50;"euclidean";40;6;0,95;0,88;0,91;109
"2771";0;"ball_tree";50;"euclidean";40;0;0,86;0,96;0,91;97
"2777";6;"ball_tree";50;"euclidean";40;6;0,95;0,88;0,91;109
"2781";0;"kd_tree";50;"euclidean";40;0;0,86;0,96;0,91;97
"2787";6;"kd_tree";50;"euclidean";40;6;0,95;0,88;0,91;109
"2791";0;"brute";50;"euclidean";40;0;0,86;0,96;0,91;97
"2797";6;"brute";50;"euclidean";40;6;0,95;0,88;0,91;109
"2801";0;"auto";1;"manhattan";40;0;0,95;0,96;0,95;97
"2802";1;"auto";1;"manhattan";40;1;0,79;0,98;0,88;95
"2803";2;"auto";1;"manhattan";40;2;0,99;0,9;0,94;111
"2804";3;"auto";1;"manhattan";40;3;0,89;0,97;0,93;103
"2805";4;"auto";1;"manhattan";40;4;0,95;0,84;0,89;95
"2806";5;"auto";1;"manhattan";40;5;0,93;0,89;0,91;94
"2807";6;"auto";1;"manhattan";40;6;0,95;0,95;0,95;109
"2808";7;"auto";1;"manhattan";40;7;0,86;0,91;0,88;97
"2810";9;"auto";1;"manhattan";40;9;0,92;0,92;0,92;111
"2811";0;"ball_tree";1;"manhattan";40;0;0,95;0,96;0,95;97
"2812";1;"ball_tree";1;"manhattan";40;1;0,79;0,98;0,88;95
"2813";2;"ball_tree";1;"manhattan";40;2;0,99;0,9;0,94;111
"2814";3;"ball_tree";1;"manhattan";40;3;0,89;0,97;0,93;103
"2815";4;"ball_tree";1;"manhattan";40;4;0,95;0,84;0,89;95
"2816";5;"ball_tree";1;"manhattan";40;5;0,93;0,89;0,91;94
"2817";6;"ball_tree";1;"manhattan";40;6;0,95;0,95;0,95;109
"2818";7;"ball_tree";1;"manhattan";40;7;0,86;0,91;0,88;97
"2820";9;"ball_tree";1;"manhattan";40;9;0,92;0,92;0,92;111
"2821";0;"kd_tree";1;"manhattan";40;0;0,95;0,96;0,95;97
"2822";1;"kd_tree";1;"manhattan";40;1;0,79;0,98;0,88;95
"2823";2;"kd_tree";1;"manhattan";40;2;0,99;0,9;0,94;111
"2824";3;"kd_tree";1;"manhattan";40;3;0,89;0,97;0,93;103
"2825";4;"kd_tree";1;"manhattan";40;4;0,95;0,84;0,89;95
"2826";5;"kd_tree";1;"manhattan";40;5;0,93;0,89;0,91;94
"2827";6;"kd_tree";1;"manhattan";40;6;0,95;0,95;0,95;109
"2828";7;"kd_tree";1;"manhattan";40;7;0,86;0,91;0,88;97
"2830";9;"kd_tree";1;"manhattan";40;9;0,92;0,92;0,92;111
"2831";0;"brute";1;"manhattan";40;0;0,95;0,96;0,95;97
"2832";1;"brute";1;"manhattan";40;1;0,79;0,98;0,88;95
"2833";2;"brute";1;"manhattan";40;2;0,99;0,9;0,94;111
"2834";3;"brute";1;"manhattan";40;3;0,89;0,97;0,93;103
"2835";4;"brute";1;"manhattan";40;4;0,95;0,84;0,89;95
"2836";5;"brute";1;"manhattan";40;5;0,93;0,89;0,91;94
"2837";6;"brute";1;"manhattan";40;6;0,95;0,95;0,95;109
"2838";7;"brute";1;"manhattan";40;7;0,86;0,91;0,88;97
"2840";9;"brute";1;"manhattan";40;9;0,92;0,92;0,92;111
"2841";0;"auto";5;"manhattan";40;0;0,95;0,98;0,96;97
"2843";2;"auto";5;"manhattan";40;2;0,99;0,89;0,94;111
"2844";3;"auto";5;"manhattan";40;3;0,88;0,95;0,92;103
"2845";4;"auto";5;"manhattan";40;4;0,93;0,86;0,9;95
"2846";5;"auto";5;"manhattan";40;5;0,96;0,91;0,93;94
"2847";6;"auto";5;"manhattan";40;6;0,97;0,94;0,96;109
"2848";7;"auto";5;"manhattan";40;7;0,88;0,89;0,88;97
"2850";9;"auto";5;"manhattan";40;9;0,97;0,89;0,93;111
"2851";0;"ball_tree";5;"manhattan";40;0;0,95;0,98;0,96;97
"2853";2;"ball_tree";5;"manhattan";40;2;0,99;0,89;0,94;111
"2854";3;"ball_tree";5;"manhattan";40;3;0,88;0,95;0,92;103
"2855";4;"ball_tree";5;"manhattan";40;4;0,93;0,86;0,9;95
"2856";5;"ball_tree";5;"manhattan";40;5;0,96;0,91;0,93;94
"2857";6;"ball_tree";5;"manhattan";40;6;0,97;0,94;0,96;109
"2858";7;"ball_tree";5;"manhattan";40;7;0,89;0,89;0,89;97
"2860";9;"ball_tree";5;"manhattan";40;9;0,97;0,89;0,93;111
"2861";0;"kd_tree";5;"manhattan";40;0;0,95;0,98;0,96;97
"2863";2;"kd_tree";5;"manhattan";40;2;0,99;0,89;0,94;111
"2864";3;"kd_tree";5;"manhattan";40;3;0,88;0,95;0,92;103
"2865";4;"kd_tree";5;"manhattan";40;4;0,93;0,86;0,9;95
"2866";5;"kd_tree";5;"manhattan";40;5;0,96;0,91;0,93;94
"2867";6;"kd_tree";5;"manhattan";40;6;0,97;0,94;0,96;109
"2868";7;"kd_tree";5;"manhattan";40;7;0,88;0,89;0,88;97
"2870";9;"kd_tree";5;"manhattan";40;9;0,97;0,89;0,93;111
"2871";0;"brute";5;"manhattan";40;0;0,95;0,98;0,96;97
"2873";2;"brute";5;"manhattan";40;2;0,99;0,89;0,94;111
"2874";3;"brute";5;"manhattan";40;3;0,88;0,95;0,92;103
"2875";4;"brute";5;"manhattan";40;4;0,93;0,86;0,9;95
"2876";5;"brute";5;"manhattan";40;5;0,96;0,9;0,93;94
"2877";6;"brute";5;"manhattan";40;6;0,97;0,94;0,96;109
"2878";7;"brute";5;"manhattan";40;7;0,88;0,89;0,88;97
"2880";9;"brute";5;"manhattan";40;9;0,97;0,88;0,92;111
"2881";0;"auto";10;"manhattan";40;0;0,93;0,98;0,95;97
"2883";2;"auto";10;"manhattan";40;2;0,99;0,85;0,91;111
"2884";3;"auto";10;"manhattan";40;3;0,88;0,94;0,91;103
"2885";4;"auto";10;"manhattan";40;4;0,94;0,84;0,89;95
"2886";5;"auto";10;"manhattan";40;5;0,96;0,9;0,93;94
"2887";6;"auto";10;"manhattan";40;6;0,96;0,96;0,96;109
"2891";0;"ball_tree";10;"manhattan";40;0;0,93;0,98;0,95;97
"2893";2;"ball_tree";10;"manhattan";40;2;0,99;0,85;0,91;111
"2894";3;"ball_tree";10;"manhattan";40;3;0,88;0,94;0,91;103
"2895";4;"ball_tree";10;"manhattan";40;4;0,94;0,84;0,89;95
"2896";5;"ball_tree";10;"manhattan";40;5;0,96;0,9;0,93;94
"2897";6;"ball_tree";10;"manhattan";40;6;0,96;0,96;0,96;109
"2901";0;"kd_tree";10;"manhattan";40;0;0,93;0,98;0,95;97
"2903";2;"kd_tree";10;"manhattan";40;2;0,99;0,85;0,91;111
"2904";3;"kd_tree";10;"manhattan";40;3;0,88;0,94;0,91;103
"2905";4;"kd_tree";10;"manhattan";40;4;0,94;0,84;0,89;95
"2906";5;"kd_tree";10;"manhattan";40;5;0,96;0,9;0,93;94
"2907";6;"kd_tree";10;"manhattan";40;6;0,96;0,96;0,96;109
"2911";0;"brute";10;"manhattan";40;0;0,93;0,98;0,95;97
"2913";2;"brute";10;"manhattan";40;2;0,99;0,85;0,91;111
"2914";3;"brute";10;"manhattan";40;3;0,88;0,94;0,91;103
"2915";4;"brute";10;"manhattan";40;4;0,94;0,84;0,89;95
"2916";5;"brute";10;"manhattan";40;5;0,96;0,9;0,93;94
"2917";6;"brute";10;"manhattan";40;6;0,96;0,96;0,96;109
"2921";0;"auto";20;"manhattan";40;0;0,9;0,97;0,94;97
"2924";3;"auto";20;"manhattan";40;3;0,88;0,93;0,91;103
"2925";4;"auto";20;"manhattan";40;4;0,93;0,81;0,87;95
"2926";5;"auto";20;"manhattan";40;5;0,93;0,89;0,91;94
"2927";6;"auto";20;"manhattan";40;6;0,94;0,92;0,93;109
"2931";0;"ball_tree";20;"manhattan";40;0;0,9;0,97;0,94;97
"2934";3;"ball_tree";20;"manhattan";40;3;0,88;0,93;0,91;103
"2935";4;"ball_tree";20;"manhattan";40;4;0,93;0,81;0,87;95
"2936";5;"ball_tree";20;"manhattan";40;5;0,93;0,89;0,91;94
"2937";6;"ball_tree";20;"manhattan";40;6;0,94;0,92;0,93;109
"2941";0;"kd_tree";20;"manhattan";40;0;0,9;0,97;0,94;97
"2944";3;"kd_tree";20;"manhattan";40;3;0,88;0,93;0,91;103
"2945";4;"kd_tree";20;"manhattan";40;4;0,93;0,81;0,87;95
"2946";5;"kd_tree";20;"manhattan";40;5;0,93;0,89;0,91;94
"2947";6;"kd_tree";20;"manhattan";40;6;0,94;0,92;0,93;109
"2951";0;"brute";20;"manhattan";40;0;0,9;0,97;0,94;97
"2954";3;"brute";20;"manhattan";40;3;0,88;0,93;0,91;103
"2955";4;"brute";20;"manhattan";40;4;0,92;0,81;0,86;95
"2956";5;"brute";20;"manhattan";40;5;0,93;0,89;0,91;94
"2957";6;"brute";20;"manhattan";40;6;0,94;0,92;0,93;109
"2961";0;"auto";50;"manhattan";40;0;0,86;0,96;0,91;97
"2967";6;"auto";50;"manhattan";40;6;0,95;0,88;0,91;109
"2971";0;"ball_tree";50;"manhattan";40;0;0,86;0,96;0,91;97
"2977";6;"ball_tree";50;"manhattan";40;6;0,95;0,88;0,91;109
"2981";0;"kd_tree";50;"manhattan";40;0;0,86;0,96;0,91;97
"2987";6;"kd_tree";50;"manhattan";40;6;0,95;0,88;0,91;109
"2991";0;"brute";50;"manhattan";40;0;0,86;0,96;0,91;97
"2997";6;"brute";50;"manhattan";40;6;0,95;0,88;0,91;109
